line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables
jardin de désert,les feuilles de laitue gelées,dans l'aube rose,tempslibre,4,8,5
pluie d'hiver,les draps où elle dort,deviennent froids ,tempslibre,3,6,4
sable du désert. . .,mon sac de couchage sous,la pleine lune ,tempslibre,4,7,5
lune géante . . . ,l'aboiement d'un chien fait écho,par-dessus la clôture ,tempslibre,4,7,6
ciel cristallin,les pionniers n'ont laissé aucun indice,sur la piste à prendre ,tempslibre,4,10,6
odeur de saule,un martin-pêcheur suspendu,dans l'air,tempslibre,5,7,2
chaleur du désert -,sourires au long de la route étroite,vers le nord profond,tempslibre,4,11,5
Arizona,"pause en bord de route, le chien sniffe",de la neige jaune,tempslibre,4,11,6
un papillon de nuit volète,sur la flamme de la bougie . . . ,damné idiot,tempslibre,8,8,3
eau calme . . . ,le sous-entendu,dans sa voix,tempslibre,4,5,3
vents de novembre,le chien trouve des oiseaux morts,dans la haie,tempslibre,5,8,3
cimetière du désert --,ma belle-soeur,ne pleure pas,tempslibre,6,4,4
l'été se termine --,ses taches de rousseur pâles,sur le bronzage sombre,tempslibre,4,7,7
brouillard sur l'autoroute --,le klaxonnement des oies,de retour,tempslibre,7,7,3
vent du désert --,un goût de de fer et de cuivre,dans mon café,tempslibre,3,9,3
jour de printemps --,l'horloge murale,encore en hiver,tempslibre,4,6,6
printemps appalachien --,les escarboucles de carbone,dans la lumière du kerosene,tempslibre,6,9,10
lune du lièvre --,des gants ensanglantés,sur la glace,tempslibre,5,5,4
aube glaciale --,le chien me regarde,faire mon sac,tempslibre,5,6,4
café de feu de camp . . .,les ailes du condor glanent,les premiers rayons du soleil,tempslibre,5,8,7
l'air arctique,apaise la chaleur du désert . . .,blended whisky,tempslibre,4,8,4
ciels d'ardoise,des traits à la craie,sur le trottoir,tempslibre,4,4,4
lune couleur pêche...,la mince tranche restante,pour nous,tempslibre,5,8,2
lune herbeuse,nous retirons nos chaussures,pour compter les étoiles,tempslibre,5,8,6
embrassade au jardin,l'odeur fraiche de,son linge sèché au soleil,tempslibre,7,5,6
embrassade dans la cuisine,l'odeur de sa chaude,tarte aux pommes,tempslibre,9,6,5
embrassade d'au revoir,l'essence lègère,des boules de naphtaline,tempslibre,7,4,8
le Montana au matin,les chevaux avec leurs dos,tournés vers la neige qui souffle,tempslibre,7,7,8
lumière de la rue oscillante ~,ses rêves s'attardent,avec la tempête,tempslibre,10,5,5
Sac de cerises ~,les nuages virent au noir sur la route,de la côte,tempslibre,5,11,3
lever de soleil saumon,une éclaboussure retentit sur,la baie calme,tempslibre,7,10,4
marché à la campagne,elle peint une fleur,sur une joue d'enfant,tempslibre,5,6,6
tandem,vent dans nos cheveux,un rire partagé,tempslibre,2,5,5
matin de brume,les echos des cris du geai bleu,à travers les pins,tempslibre,5,8,4
café nouveau,volutes de crême et de sucre,elle remue ses pensées,tempslibre,3,9,7
brise de printermps,elle souffle les pissenlits,en cercles,tempslibre,5,8,3
meule de foin sèche,les flammes grimpent plus haut,sur le ciel nocturne,tempslibre,5,7,6
matin pluvieux,le haijin tourne,le sucre dans sa tasse,tempslibre,4,5,7
lune d'albâtre ~,luisant sur les sommets dénudés des pins,dans la brume froide de la montagne,tempslibre,4,9,11
la baiser doucement,où la pluie,ne tombe jamais,tempslibre,6,3,5
dispute familiale,la poussière des lys poivre crible,la table ,tempslibre,7,10,3
après des mots brutaux,nous tirons nos chaises,au soleil ,tempslibre,5,6,3
porte claquée—,l'orchidée perd,une autre fleur ,tempslibre,5,4,5
pluie de météores lyrides-,un pommier en fleurs,au crépuscule ,tempslibre,7,5,4
décollage sur alerte de moineaux -,une conférence téléphonique,avec mes soeurs ,tempslibre,10,8,4
test négatif —,des narcisses en fleurs,dans le tas de déchets  ,tempslibre,3,6,5
rattraper le temps,après quarante ans —,tourbillons de poussière ,tempslibre,5,5,7
chaleur étouffante,une légère brise déplace,les montagnes ,tempslibre,5,7,4
une loupe,sur la carte de kyoto—,"si loin, si près ",tempslibre,4,7,3
avant que le reste,du monde s’éveille,pousses d’iris ,tempslibre,6,5,4
pénombre,autour de mon ombre,silence du crépuscule ,tempslibre,2,6,7
barbelé autour,du verger abandonné –,bourgeons gonflés ,tempslibre,4,6,3
thé d'après-midi,les pots de fleurs vides du jardin,se remplissent de neige ,tempslibre,3,9,7
dispersant,les graines d'asters sauvages—,la pluie d'automne ,tempslibre,3,8,5
pluie froide,je pose mon café,plus près ,tempslibre,3,5,1
coquelicots de Californie --,la légère odeur,d'asphalte ,tempslibre,9,4,3
plus de nouvelles,d'un ami malade—,chute des feuilles ,tempslibre,5,6,5
orage —,les claps des skateboards,dans le parc ,tempslibre,3,6,3
la clématite du voisin,de mon côté de la clôture,amour libre ,tempslibre,7,6,4
laissant la poussière,du monde derrière —,thé d'été ,tempslibre,6,6,1
pins fantômes,sous un croissant de lune,sécheresse de l'été ,tempslibre,3,7,4
des fautes,dans ses excuses,mauvaises herbes printanières ,tempslibre,3,5,9
étincelles quand ,J'enlève ma robe,sécheresse hivernale ,tempslibre,4,5,7
dans la file de soupe populaire,chaque homme tourné,vers le soleil ,tempslibre,11,5,4
les bougies dansent,entre mes paupières,zazen ,tempslibre,5,6,2
ces coquillages,que nous ramassions pour elle-,marée haute ,tempslibre,5,8,4
rides profondes,dans le visage d'un aîné-,le crépuscule tombe ,tempslibre,5,7,6
après une lobotomie —,de la citrouille,le sourire sans dents ,tempslibre,7,5,6
fin d'été,les belles-de-jour,supportent le ciel ,tempslibre,1,5,5
pluie continue,les muscles dans mon dos,se dénouent ,tempslibre,4,6,2
brise du soir,le barbecue de mon voisin,dérive par ici ,tempslibre,4,8,5
vent fort,un milliard de graines de peuplier,cherchant l'amour ,tempslibre,2,9,4
memorial day,une autre vente de matelas,sur le mall ,tempslibre,4,10,3
dispersés à nouveau,lorsque les flaques s'assèchent—,les pétales d'abricot ,tempslibre,4,7,6
fantôme au jardin,le pommier en fleurs,par une nuit sans étoiles ,tempslibre,5,5,7
un autre anniversaire —,j'observe le long trait de cendre,sur l'encens ,tempslibre,8,9,3
vent d'hiver,les pétales du lys tombent,autour du vase ,tempslibre,3,7,5
pluie intermittente —,je fouille dans une boite,de vieilles lettres ,tempslibre,6,8,5
après des noms d'oiseaux,nous installons nos chaises,au soleil ,tempslibre,5,7,3
dispute familiale,la poussière des lys crible,la table ,tempslibre,7,8,3
elle s'incline plus bas,que tous les autres—,la cloche du temple ,tempslibre,7,5,6
une nuit de repos,la prostituée joue avec elle-même,dans son sommeil ,tempslibre,6,11,4
reflet de la pluie,sur les feuilles mortes—,vestiges d'un amour ,tempslibre,5,6,6
tout ce que l'on peut voir,dans son écriture tremblante —,pluie sombre ,tempslibre,6,8,3
à chaque fois qu'elle passe devant,elle réarrange les fleurs coupées,avis de gel ,tempslibre,10,9,4
amour tardif,à travers les fenêtres poussiéreuses,une lumière douce ,tempslibre,4,9,7
cinquante ans,de lettres & de journaux intimes —,crue subite ,tempslibre,4,9,4
terrain vague envahi ,par des ombelles de carottes,et des pièces automobiles ,tempslibre,7,9,9
les pierres du jardin,perlées par le vent et la pluie,été indien ,tempslibre,6,8,2
tonnerre en montagne,les oiseaux changent,leur chant ,tempslibre,7,5,2
froid de l'automne —,remplacer la pile,de ma souris ,tempslibre,5,6,4
après les trombes d'eau,les dernières gouttes du toit,accroissent le silence ,tempslibre,5,8,7
nuit d'amour en été,peu importe ce que les voisins,cuisinent ,tempslibre,4,9,3
avis de tempête —,des cicatrices que j'ai appris,à aimer,tempslibre,5,9,2
des phares,dans la tempête de poussière,vieux amis ,tempslibre,3,8,3
nuit d'hiver,sans la chaleur,de sa compagnie ,tempslibre,3,4,5
tant de fautes,dans ses excuses —,vents de printemps ,tempslibre,4,5,4
le jour se couche,sur ce monde de poussière,zazen du soir ,tempslibre,5,8,4
un long hiver—,le biseau du miroir,lance un arc-en-ciel ,tempslibre,4,6,6
un aboiement de chien,rôde dans le vent,ombres du soir ,tempslibre,6,4,4
une nouvelle année —,ces noms barrés,dans mon carnet d'adresses ,tempslibre,7,3,7
chez mon voisin,l'abricotier en fleurs,seconde noce ,tempslibre,4,6,5
ciel couvert,les premières fleurs,de l'abricotier ,tempslibre,3,5,5
mal du pays —,le coucher de soleil juste derrière,la clôture ,tempslibre,3,11,3
épandant ses graines,dans le ciel bleu —,le vieil orme ,tempslibre,5,4,4
j'oublie de demander,la réduction pour les seniors --,chute des feuilles ,tempslibre,6,7,5
juste au dessus de la clôture,une constellation d'étoiles,et de camions ,tempslibre,9,8,4
les fleurs sauvages,le long du mur du voisin,atténuent sa voix ,tempslibre,5,7,4
hôte inattendu -,une pensée venue,de nulle part ,tempslibre,5,6,4
haleine d'hiver,un poème,sur la vitre de l'auto ,tempslibre,5,3,7
minuit --,je charge mes pensées,sur un train de marchandises qui passe ,tempslibre,2,6,11
longue expiration -,une pluie continue,sur le toit de tôle ,tempslibre,6,6,5
vapeur du thé --,respirant le gingembre,sous la lampe ,tempslibre,3,7,4
chaleur estivale --,le parfum poivré,de capucines ,tempslibre,6,4,5
après la pluie --,les criquets amplifiés,dans la nuit ,tempslibre,3,6,3
train de marchandises --,ces petites étoiles,si loin ,tempslibre,6,6,2
vendredi après-midi --,juste les abeilles,dans la lavande ,tempslibre,6,6,5
graffiti de printemps --,partout en fleurs,le mur de l'entrepôt ,tempslibre,6,4,5
thé citron,et huile de lavande,la pluie sans arrêt ,tempslibre,2,7,4
fenêtre ouverte --,l'odeur de citron du théier,dans la pluie ,tempslibre,5,7,3
surf sur les vagues,un minuscule lézard,sur la tole ondulée ,tempslibre,5,6,7
à mon propre rythme --,une fleur minuscule fleurit,d'une fissure du beton ,tempslibre,5,9,8
la lumière baisse--,les derniers tournesols,à moitié prix ,tempslibre,6,6,3
dans le squelette,de la vieille maison,une nouvelle toile d'araignée ,tempslibre,5,6,10
paysage industriel --,là où la pluie,fait la rouille ,tempslibre,6,3,4
après minuit --,les grillons,et un train de banlieue ,tempslibre,3,3,6
étoiles sur la rivière --,deux gamins,pêchent de nuit ,tempslibre,7,3,3
soleil sur les ailes de la libellule--,lorsque tout le reste,disparaît ,tempslibre,12,6,3
couverture nuageuse --,juste savoir,que la lune est encore là ,tempslibre,7,4,8
mandarine --,quelques segments,de soleil ,tempslibre,4,4,3
observation des baleines --,tous les smartphones,alignés sur le pont ,tempslibre,8,5,5
nuit froide --,pas une seule trace argentée,sur le trottoir ,tempslibre,3,10,4
berceuses,de banlieue,les trains de nuit ,tempslibre,3,3,4
grisaille de l'hiver --,la ligne des oiseaux de mer,entre les lumières du quai ,tempslibre,6,8,8
bruine continue --,un arc-en-ciel s'estompe,dans la grisaille ,tempslibre,5,7,5
par dessus la raffinerie,la lune prend,la mer ,tempslibre,8,4,2
il fait noir tôt --,les roses sepia,sous les lumières de la rue ,tempslibre,3,5,8
pluie nocturne --,jamais trop âgée,pour une berçeuse ,tempslibre,4,4,6
après-midi pluvieuse --,de petites crêpes chaudes,avec du beurre et du miel,tempslibre,6,7,8
rétroviseur --,des pélicans avec le lever de soleil,sur leurs ailes ,tempslibre,3,11,4
déclin industriel --,les traînées de rouille,dans la pluie lourde ,tempslibre,4,6,5
pluie nocturne --,nous sautons dans les flaques de neon,et respirons le romarin ,tempslibre,4,9,8
train de marchandises --,la nuit à court,d'haleine ,tempslibre,6,3,3
flaque sur le parking --,je marche à travers,le ciel ,tempslibre,6,5,2
autour du feu de camp,nous attendons,la voie lactée ,tempslibre,6,4,4
nuit de graffiti --,toutes ces étoiles,bombées partout ,tempslibre,5,5,4
train de banlieue --,un livre et une valise,pleins d'étoiles ,tempslibre,4,9,3
froid d'automne --,un petit grillon,chante à la lune ,tempslibre,4,5,5
matins plus froids --,le miel prend plus de temps,de la cuillère ,tempslibre,4,6,4
plages sauvages,en hiver --,prends moi là-bas ,tempslibre,5,3,3
seule à la maison --,le son de ma fourchette,dans le bol de pâtes ,tempslibre,5,7,5
le long de la voie ferrée --,les secrets des orchidées,sous la lune ,tempslibre,7,7,4
temps orageux --,une clarinette,blues d'après-midi ,tempslibre,4,6,4
arrivée de trains --,quelqu'un sur le quai,lit sous la lune ,tempslibre,5,6,5
sirotant son café lentement,elle se réchauffe les mains ,sur de vieux souvenirs ,tempslibre,8,7,6
le siffllement du train,dans le lointain,une autre nuit sans sommeil ,tempslibre,6,4,8
odeur de pluie,de jeunes cerfs courent,à travers le champ,tempslibre,4,6,4
les nuages blancs,glissent sans risque,sur les champs de mines,tempslibre,4,5,6
solstice d'hiver --,le chat Persan,les yeux demi-clos ,tempslibre,5,4,5
"tout ce dont j'ai besoin, c'est des montagnes",et un hérisson -,l'automne se creuse ,tempslibre,11,4,6
pleine lune,un autre bébé pleure,sans piles ,tempslibre,4,5,3
A la gare de Finlande --,ils se précipitent,pour décrocher un iPhone ,tempslibre,8,5,7
les pattes du chat,à la surface d'un lac,silence du matin ,tempslibre,5,6,6
haies Croton,avec leur faux feuillage d'automne,automne au sud de la Floride  ,tempslibre,3,10,10
sang sur le barbelé,une lune pâle,révèle le crime,tempslibre,5,5,4
Ils partagent,une pomme abimée,fête au clair de lune pour deux ,tempslibre,4,7,8
Lune des moissons,beaucoup trop de lumière,pour la souris des champs ,tempslibre,5,7,6
les pluies d'été parties,la rivière,retrouve son lit ,tempslibre,4,4,5
son nom,sur le mur de granite noir,"et nous devons demander, pourquoi ? ",tempslibre,2,8,9
le grondement du tonnerre,secoue l'aube,fin de l'été à Miami ,tempslibre,8,4,4
la cendre recouvre son pupitre,tout ce qu'il reste,8:17 - heure d'Hiroshima ,tempslibre,10,6,6
brosse en main,soigneusement il ...,"8:16, heure d'Hiroshima ",tempslibre,4,5,6
d'un tas de décombres,on entend de faibles piaulements,"des rats, bien sûr ",tempslibre,5,9,3
saveur d'embruns,sur un quai de pêche,fin d'été ,tempslibre,4,5,1
éclairer le chemin,avec une jarre de lucioles,dernier été d'enfance ,tempslibre,5,10,5
dans la fraîcheur du soir,d'une veranda,ses yeux reflètent les étoiles ,tempslibre,6,5,7
après une longue nuit,le chant des oiseaux,à l'aube ,tempslibre,6,5,2
Regardant la lune,en ce soir d'été calme,fête des moustiques ,tempslibre,6,5,5
Les nuages s'amoncellent,dans un ciel qui s'assombrit,une promenade interrompue ,tempslibre,7,7,10
une gorgée prudente,plus fait de pois chiches que de café,son breuvage du petit déjeuner ,tempslibre,7,9,9
croassement des grenouilles,juste après l'aube,souvenirs d'été ,tempslibre,7,5,3
la soie d'une toile,empêtrée dans mes cheveux,une araignée sans-abri ,tempslibre,6,6,8
Avant l'aube,Près du petit étang,le son des grillons ,tempslibre,4,4,5
pétales de camomille,nageant dans l'eau de pluie,pour ses mèches blondes ,tempslibre,7,6,5
Splatch !,un parebrise et une bestiole,se trouvent mutuellement ,tempslibre,1,11,7
le granit poli,reflète mon visage,sur la tombe de mon père ,tempslibre,5,6,7
pluie froide,dure comme des ongles,fin d'après-midi ,tempslibre,3,7,4
cadeau d'été de l'enfance,ce premier pissenlit,dansant dans le vent ,tempslibre,6,6,5
Mon thé devient froid,et la madeleine tombe au fond,la mémoire me trahit ,tempslibre,4,10,6
un roucoulement,d'une petite houppe de plumes,une autre aube ,tempslibre,5,10,6
de petites vagues vertes s'écrasent,contre un bord de porcelaine,tempête dans le thé du matin ,tempslibre,10,9,7
visages du passé,leurs souvenirs dans de vieilles photos,effacés par l'inondation ,tempslibre,5,10,7
les coquelicots poussent,entre les lignes de tombes blanches,comme en souvenir ,tempslibre,7,10,6
sous la pleine lune,un sans-abri collecte des cannettes,récolte urbaine ,tempslibre,6,11,5
au fond de la nuit,l'aboiement aigu d'un chien,vire en coup de feu ,tempslibre,5,7,6
ailes de papillon,si fort leur battement,dans le silence d'un temple ,tempslibre,6,6,8
odeur forte,après l'averse de midi,été électrique ,tempslibre,4,7,3
des lignes de marques blanches,tous au garde-à-vous,Memorial Day ,tempslibre,8,5,4
petit-déjeuner de fin de matinée,non mangé,trop de printemps,tempslibre,10,2,4
juste un petit panier,rempli de trésors cachés,qu'elle porte fièrement ,tempslibre,7,5,8
un signet jauni,tombe de sa Bible,avis mortuaire d'Emmet Till ,tempslibre,5,6,8
Devant les portes de bronze,ils se blotissent contre le froid,les nouveaux sans-abris ,tempslibre,8,9,6
rosée du petit matin,sur une cloche de bronze du temple,juste avant qu'elle sonne ,tempslibre,7,11,9
lac clair enclos,entièrement dans,un bol de miso ,tempslibre,4,5,5
le déjeuner gargouille encore,mais aucune autre arme n'a été entendue,matin d'Armistice. ,tempslibre,9,12,6
il remonte avec soin sa montre,si soigneusement ce matin,qui mettra fin à la guerre ,tempslibre,10,8,7
"Le clairon joue ""Tap""",son visage si sérieux,"ses parents, si fier ",tempslibre,5,6,5
arc-en-ciels reflètés,dans tant de pots d'échappement,orage d'après-midi ,tempslibre,4,7,6
ce jour de printemps,les fleurs ont fané depuis longtemps,pourtant nous nous en souvenons ,tempslibre,5,8,8
le miroir reflète,un visage que je connais si bien,celui de père ,tempslibre,5,10,4
un mat de drapeau monte la garde,devant l'école inondée,comme une rivière passe ,tempslibre,10,7,9
perchée sur un rambarde,d'une autoroute encombrée,une aigrette lisse ses plumes ,tempslibre,7,9,10
crevasses dans le trottoir,perdu parmi les herbes et les mauvaises herbes,le printemps urbain ,tempslibre,7,14,5
la tête fendue de la statue,du Bouddha; un rappel,que tout passe ,tempslibre,8,6,4
un plus un = 3,un couple heureux attend,son premier enfant ,tempslibre,3,7,5
la fuite du stylo,non épongée par le buvard,Mare Crisium ,tempslibre,6,7,4
elle crie en silence,ses sanglots à peine audibles,et personne pour l'entendre ,tempslibre,7,8,8
ruisseaux rouges,coulant sur son visage jeune et pâle ,elle s'accroche à une poupée ,tempslibre,4,11,9
la guerre à l'Horreur ---,des G.I. sous haschich tuent,des Afghans pour le sport ,tempslibre,5,6,6
j'éteins les lumières de la citrouille,d'avant l'aube,une lune des moissons ,tempslibre,10,4,7
glâneurs de la lune des moissons,"pâles visages, des yeux plombés regardent",un champ vide ,tempslibre,8,10,4
"oeil vitreux, étripée",prise du jour sur la glace ,au marché au poisson ,tempslibre,6,8,5
ni blanc ni noir,un brouillard jaune qui ne se lèvera pas,le linceuil d'Alzheimer ,tempslibre,4,11,6
Pleine lune du maïs,il est temps de rassembler la récolte,avant que les feuilles tombent ,tempslibre,6,10,8
"""des os de chèvres carbonisés""",disent-ils -- sans conviction,cauchemars somaliens ,tempslibre,7,7,6
trop chaud pour le miso !,il le pousse sur le côté,ce matin d'août ,tempslibre,6,6,4
bouquet de fleurs sauvages,laissé sur une grand route de campagne,la route sans fin  ,tempslibre,7,11,5
les feuilles de thé avec soin,"préservées, sèchées, et réutilisées",la pauvreté cachée ,tempslibre,7,8,5
c'est un pélican,"-- dans cette balle de plumes, goudron",ou c'est une mouette ? ,tempslibre,4,10,6
négatif ...,un autre oeuf tombe,du nid ,tempslibre,2,6,2
la courbe de sa jambe,notes lentes et profondes d'un violoncelle,dérivent dans le jardin ,tempslibre,7,13,6
pleine lune,le vent souffle à travers nos vêtements,et l'herbe écrasée ,tempslibre,4,9,5
bruine nocturne,les flaques se remplissent des lampes de la rue,au lieu d'étoiles,tempslibre,5,13,4
baiser soudain,quelques pommes tombent de,son panier ,tempslibre,4,7,3
excursion en montagne,perdue parmi les papillons,et l'odeur de miel ,tempslibre,7,8,5
fenêtre fermée,une abeille posée si calmement parmi,du pollen décoloré ,tempslibre,4,13,5
litsjumeaux,porter ta chemise de flanelle,pour me tenir chaud ,tempslibre,3,10,5
galerie à l'arrière de la maison,des éclats de rire,entre les coups de tonnerre ,tempslibre,10,5,8
fin d'été,les brins d'un cerf-volant abandonné,voltigent au vent ,tempslibre,1,9,5
à l'hospice,un piano désaccordé accompagne,son chant sans paroles ,tempslibre,3,9,6
main dans la main,une floraison de pétales blancs,comme nous passons ,tempslibre,4,9,5
maison abandonnée,une vieille vie repose,parmi les mauvaises herbes et les arbres ,tempslibre,6,8,12
matin humide,le parfum des lilas,remplit chaque respiration ,tempslibre,5,6,8
crépuscule sur la rivière,la légèreté,de tes cendres ,tempslibre,8,2,4
lune froide,une méduse bercée,dans l'obscurité ,tempslibre,4,6,4
lune de sang,forcée de devenir,une femme ,tempslibre,4,6,4
pluie fine,la floraison de la lavande,dans mon carnet de croquis  ,tempslibre,3,9,7
flaque de pluie,les bottes en caoutchouc d'un enfant,éclaboussent les étoiles ,tempslibre,4,9,6
gâteau au fromage français -,toutes nos pensées,enrobées de sucre ,tempslibre,7,5,6
nuit de solstice –,l'insomnie,du feu de brousse ,tempslibre,5,3,5
première lumière du jour. . .,le parfum lumineux,des feuilles de thé,tempslibre,8,6,4
miroir de salle de bain,toujours un étranger,à ma place ,tempslibre,7,5,3
blanche aurore...,le cerisier en fleurs,avant le soleil,tempslibre,5,6,5
premier jour de l'an,la neige fraîche,recouvre l'ancienne ,tempslibre,5,5,6
des pétales d'azalée,dans mon souvenir,quelque chose s'est perdu ,tempslibre,6,5,7
croissant de lune --,le truc du magicien de rue,enfin révélé ,tempslibre,5,8,2
faisant la lessive —,les couleurs délavées,du crépuscule ,tempslibre,6,5,4
cuisinant ensemble --,une touche de cannelle,sur mes lèvres,tempslibre,6,8,3
vieux journal;,dans une salle d'attente,seulement des vieux,tempslibre,3,8,5
Fin de l'été;,la grisaille du crépuscule,sans lucioles.,tempslibre,2,8,4
menant les moutons;,l'odeur piquante,de la laine humide.,tempslibre,5,5,7
crépuscule sur l'estuaire,l'ombre d'un poteau de filets de pêche,gagne l'eau ,tempslibre,7,10,3
longue après-midi...,le ciel dégoulinant,d'une flaque de marée ,tempslibre,5,5,7
marée crépusculaire,le dernier miroitement,des huîtriers ,tempslibre,6,7,3
lilas en été,courbé vers la chaleur,de la voie ferrée ,tempslibre,3,5,5
tonnerre au loin,un gamin pose sa pièce,sur le rail ,tempslibre,5,8,3
fleurs d'amandier,l'immobilité,après l'amour ,tempslibre,4,4,3
chaleur de printemps -,la marque des herbes,sur ses cuisses ,tempslibre,5,6,4
mirage de chaleur,la première floraison,des fleurs du chemin de fer ,tempslibre,6,7,7
crépuscule sur les voies -,une aiguille parmi,les pierres du ballast ,tempslibre,6,7,6
des étoiles à l'infini ...,le braille sur la boite,de somnifères ,tempslibre,6,7,4
Central Park,l'écho de sa voix,dans chaque direction,tempslibre,3,4,6
vent du nord . . . ,"'Moi aussi, j'étais un hippie'",dit le chauffeur de taxi ,tempslibre,3,7,7
migrants,silhouettes sur fond de crépuscule ...,fête de la moisson ,tempslibre,2,9,5
Le Rêve Américain,dans chaque vitrine,une lune différente ,tempslibre,5,6,7
abri dans une cave,son nouveau-né tète,en dormant ,tempslibre,7,4,3
une autre ,nuit de tirs d'artillerie,son lait maternel se tarit ,tempslibre,4,7,8
une volée de corbeaux,à travers le ciel crépusculaire,rumeurs de guerre ,tempslibre,7,8,5
"""Mort aux Juifs""","recouvert de ""Mort aux Arabes"".",l'obscurité avant l'aube,tempslibre,3,9,7
le ciel d'orage,dans les yeux de sa grand-mère,fenêtre de la maison de retraite ,tempslibre,5,7,10
un coup de vent,la distance sociale entre moi,et un homme blanc sans masque ,tempslibre,4,10,8
lumière faiblissante ....,seul avec le cri,d'un huard ,tempslibre,7,5,2
dedans et dehors,du confessional,lumière d'hiver ,tempslibre,5,5,5
nuit de motel,seul avec les gémissements,du vent d'hiver ,tempslibre,4,7,4
"""avant, j'étais ...""",aux commissures de sa bouche,des tâches de salive ,tempslibre,3,9,6
le tremblement,d'une bougie de veillée.,fin d'année ,tempslibre,4,7,3
coin de rue au crépuscule ....,un homme d'âge mûr enveloppé,dans les nouvelles de la semaine dernière ,tempslibre,7,7,13
lune du loup,l'odeur d'un étranger,sur son corps ,tempslibre,4,5,3
baiser de rupture ...,la ligne entre le ciel,et la mer d'hiver ,tempslibre,6,7,5
French kiss,sur le pont avec des cadenas d'amour,deux filles aux cheveux roses ,tempslibre,2,11,8
nuit sans étoiles,une lanterne de bateau,au large ,tempslibre,4,8,3
les cerf-volants s'emmêlent,dans le crépuscule d'été,père et fils ,tempslibre,6,5,3
le cliquetis,des tuiles de mahjong ...,pluie d'été ,tempslibre,4,6,1
au bout,de l'arc-en-ciel à la craie --,l'affiche de foreclosure ,tempslibre,2,6,9
pluie de fleurs de cerisiers,un rire,chasse l'autre ,tempslibre,7,3,4
étang éclairé de lune ...,une grenouille saute,d'étoile en étoile ,tempslibre,5,7,5
odeur de levain du temps,la pluie froide qui bat,contre les fenêtres de motel ,tempslibre,7,6,8
terre rouge sang,elle crépite sur son cercueil,la pluie hivernale ,tempslibre,5,8,6
longue route du retour ...,les essuies-glaces balayent,le silence entre nous ,tempslibre,7,7,7
l'espace,entre les noms gravés ...,monument aux morts ,tempslibre,3,5,5
papillon épinglé ...,des marques de piqûre,sur le bras gauche de la fille ,tempslibre,4,6,9
"""Nous embauchons""",claque dans le vent d'hiver ...,derniers rayons de soleil ,tempslibre,4,7,6
le sifflement lointain,d'un train de nuit . . .,berceuse de maman ,tempslibre,6,4,6
le sourire carnassier,de sa bouche aux lèvres rouges,mon avocate pour le divorce,tempslibre,7,8,10
aube enneigée ...,des morceaux d'hier,s'accrochent à aujourd'hui,tempslibre,5,4,6
une feuille de lotus sèchée,dans le Livre des Morts tibétain,crépuscule d'hiver ,tempslibre,8,8,5
l'obscurité,entre les étoiles ...,rechute ,tempslibre,3,5,3
Goodwill Window Sale,le reflet du sans abri,et le mien ,tempslibre,6,7,3
la voie ferrée,vers une lune des moissons,je pense à ma maison ,tempslibre,4,8,6
cortège funèbre,cette chape de silence,entre les corbeaux ,tempslibre,4,8,5
les échos de son rire,dans la maison vide,le son de la neige ,tempslibre,6,6,6
matin frais,l'odeur des petits pains à la vapeur,finit la méditation ,tempslibre,3,9,6
remplissant l'heure,entre les nouvelles de la guerre,les flocons de neige ,tempslibre,5,10,6
écrire un haiku ...,mon verre de vin se remplie,de soleil ,tempslibre,5,8,3
traînée de brume,sur les champs d'automne . . . ,le cri d'un corbeau,tempslibre,5,6,5
boule de laine jaune,dans la main de ma mère,lune des moissons ,tempslibre,7,6,5
une année écoulée,sur sa partie du lit,le clair de lune d'hiver ,tempslibre,6,6,7
premier rendez-vous,son visage à moitié dévoilé,par la lune ,tempslibre,5,7,4
chaleur de midi,un homme blanc me regarde,le regarder ,tempslibre,5,8,4
une nouvelle tombe,dans le brouillard de l'hiver,cimetière de guerre ,tempslibre,7,7,7
coups de feu distants ...,les pétales du tournesol,se ferment pour la nuit ,tempslibre,5,7,6
lune de minuit...,un long hurlement,et puis plus rien ,tempslibre,5,5,4
le regard,d'un nouveau-né ...,nuit étoilée ,tempslibre,3,3,3
le cliquetis,de ses hauts talons rouges...,audience de divorce ,tempslibre,4,7,7
sa courte vie,tassée dans une urne,l'odeur de l'hiver ,tempslibre,4,7,5
lambeaux de brouillard ...,première entrevue pour un emploi,en un an ,tempslibre,5,10,3
orage d'été,les essuies-glaces,découpent notre silence ,tempslibre,3,5,7
feux d'artifices,le migrant parle de la maison,qu'il a du laisser,tempslibre,5,9,6
un verrou claque,à la maison vide ...,solstice d'hiver ,tempslibre,5,5,5
premier jour de printemps,l'odeur persistante,de livres rares ,tempslibre,6,6,5
de légères marques de crayon,sur le mur --,la chambre de son enfant mort ,tempslibre,6,3,8
l'odeur,de la chaleur de l'été...,charogne de bord de route ,tempslibre,2,5,8
la pancarte de foreclosure,dans son ombre,une maison de poupée ,tempslibre,10,4,7
une par une,les grenouilles font des trous dans l'étang ...,nuit étoilée ,tempslibre,5,9,3
un papillon,tatoué sur sa fesse,chaleur d'été ,tempslibre,4,6,2
une nouvelle lune --,la lettre de ma mère lourde,des voix du passé ,tempslibre,7,8,4
poulet épicé ...,cette pulsion pour demander,si elle est mariée ,tempslibre,3,8,7
