line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
every time i, fart a damn customer walks,in the door dammit,twaiku,6,7,5,every time i  fart a damn customer walks in the door dammit
i wanna read it, so bad but i gotta get,ready for my day,twaiku,5,7,5,i wanna read it  so bad but i gotta get ready for my day
I entered the world, of Korean dramas now,I don't want to leave,twaiku,6,6,6,I entered the world  of Korean dramas now I don't want to leave
landing in her lap,a scroll of bark,from the eucalypt,sballas,5,4,5,landing in her lap a scroll of bark from the eucalypt
I always thought he, was punching well above his,weight to be honest,twaiku,5,8,5,I always thought he  was punching well above his weight to be honest
Valentine's Day lands, on Ash Wednesday why is that,so funny to me,twaiku,6,8,5,Valentine's Day lands  on Ash Wednesday why is that so funny to me
i just wanna know, why my sister asked me to,buy her one lemon,twaiku,5,8,6,i just wanna know  why my sister asked me to buy her one lemon
your lads looked decent, last night mate Any chance you're,letting Toby go,twaiku,6,10,5,your lads looked decent  last night mate Any chance you're letting Toby go
can't count how many, times i've watched this clip just for,that smack at the end,twaiku,5,10,5,can't count how many  times i've watched this clip just for that smack at the end
harry just got out, of his seat he's probably,performing shortly,twaiku,5,7,5,harry just got out  of his seat he's probably performing shortly
Another awesome, Bowser Celebration Day,with best kids ever,twaiku,7,7,5,Another awesome  Bowser Celebration Day with best kids ever
Flights to Denver look, like the Patagonia,winter catalog,twaiku,5,7,5,Flights to Denver look  like the Patagonia winter catalog
my reaction was, the same as the girl in the,back cheering for her,twaiku,4,8,5,my reaction was  the same as the girl in the back cheering for her
My great grandfather, still looks strong I hope I have,been blessed with his genes,twaiku,5,9,7,My great grandfather  still looks strong I hope I have been blessed with his genes
Remember that your, flaws don't make you ugly a,heart full of hate does,twaiku,5,8,6,Remember that your  flaws don't make you ugly a heart full of hate does
Super envious, of everyone that was at,Post Malone last night,twaiku,4,8,6,Super envious  of everyone that was at Post Malone last night
How Independent, are you I play with my own,hair to fall asleep,twaiku,5,8,5,How Independent  are you I play with my own hair to fall asleep
teeth on its catch,the rasp of an otter's breath,autumn dusk,sballas,4,7,3,teeth on its catch the rasp of an otter's breath autumn dusk
everyone thinks that, we're perfect please don't let them,look through the curtains,twaiku,6,9,5,everyone thinks that  we're perfect please don't let them look through the curtains
J Every time, I hear that song I want to,swallow the barrel,twaiku,5,7,5,J Every time  I hear that song I want to swallow the barrel
Can U believe he, will not remain silent A,prosecutor's dream,twaiku,6,7,5,Can U believe he  will not remain silent A prosecutor's dream
something i should do, in the future if we broke,up but i hope not,twaiku,6,9,6,something i should do  in the future if we broke up but i hope not
I can fall apart, or fall in love at the drop,of a hat sometimes,twaiku,5,8,7,I can fall apart  or fall in love at the drop of a hat sometimes
Your gonna lose more, than win but it's your choice to,keep moving forward,twaiku,7,8,5,Your gonna lose more  than win but it's your choice to keep moving forward
i Also have been, having flashbacks of my ex,and I'm fucking SAD,twaiku,6,7,5,i Also have been  having flashbacks of my ex and I'm fucking SAD
just remembered i, have to start walking To school,now this is so sad,twaiku,6,8,5,just remembered i  have to start walking To school now this is so sad
stained glass,the way christ responds,to march sunlight,sballas,3,5,4,stained glass the way christ responds to march sunlight
To do a Birthday, Stream or not Hmm but what to,play Maybe some Ark,twaiku,5,6,6,To do a Birthday  Stream or not Hmm but what to play Maybe some Ark
Of course Timmy does, things right as I get into,the theater bye,twaiku,6,7,4,Of course Timmy does  things right as I get into the theater bye
Said to my lover, In the battle calmness sings,Wisdom never wins,twaiku,5,7,5,Said to my lover  In the battle calmness sings Wisdom never wins
sunset . . .,the fishing boats closer,to each other,sballas,2,6,4,sunset . . . the fishing boats closer to each other
drifting cherry petals . . .,a window goes up,in the passing limousine,sballas,6,5,8,drifting cherry petals . . . a window goes up in the passing limousine
It'll be for the, same Yoruba king and I,still won't be surprised,twaiku,4,8,6,It'll be for the  same Yoruba king and I still won't be surprised
I pleasure your mud, caked asshole as you disdain,my begging hormones,twaiku,6,9,6,I pleasure your mud  caked asshole as you disdain my begging hormones
Please advise me to, not order takeout for the,second time this week,twaiku,7,7,6,Please advise me to  not order takeout for the second time this week
je voudrais vous offrir,d'un matin de printemps,d'une nuit ensorcelante,img2poems,6,6,8,je voudrais vous offrir d'un matin de printemps d'une nuit ensorcelante
I've never wanted, anything more than I want,chocolate cake right now,twaiku,6,8,8,I've never wanted  anything more than I want chocolate cake right now
Better to do what, you don't love well than not to,do what you love well,twaiku,5,8,6,Better to do what  you don't love well than not to do what you love well
Sleeping in the crack, between the bed and the wall,is underrated,twaiku,5,7,5,Sleeping in the crack  between the bed and the wall is underrated
the night alters my, perception of everything,it's so disturbing,twaiku,5,8,5,the night alters my  perception of everything it's so disturbing
clear day . . .,a painted turtle,takes the plunge,sballas,2,5,5,clear day . . . a painted turtle takes the plunge
concept an alt club, night that doesn't play sorry,you're not a winner,twaiku,5,6,6,concept an alt club  night that doesn't play sorry you're not a winner
Their hearts are,blown away on the,hot breeze.,gutenberg,4,5,3,Their hearts are blown away on the hot breeze.
Thanks for following, me back buddy Some awesome,guitars you've got there,twaiku,5,10,7,Thanks for following  me back buddy Some awesome guitars you've got there
crescent moon,the sharp edge,of longing,herons_nest,3,4,3,crescent moon the sharp edge of longing
Holy crap we won, a road game Holy crap we,won a road SEC game,twaiku,5,8,6,Holy crap we won  a road game Holy crap we won a road SEC game
That going ghost shit, is dead I'm not even bout,to entertain it,twaiku,4,7,5,That going ghost shit  is dead I'm not even bout to entertain it
darkness has a light,when we look through the shadows,for love we may seek,img2poems,5,7,6,darkness has a light when we look through the shadows for love we may seek
My favorite lines, on the movie The Pirates,of Carribean,twaiku,7,8,4,My favorite lines  on the movie The Pirates of Carribean
it's crazy how you, can go from knowing someone,to being strangers,twaiku,5,8,4,it's crazy how you  can go from knowing someone to being strangers
We're adventurous, I have a broken zipper,I've come to get you,twaiku,6,8,7,We're adventurous  I have a broken zipper I've come to get you
hey We are going, to Toronto this weekend,What is a Must see,twaiku,5,7,5,hey We are going  to Toronto this weekend What is a Must see
me texting my plug, to come thru twice in one day,am i annoying,twaiku,5,10,4,me texting my plug  to come thru twice in one day am i annoying
and delivery, directly to the bed on,special occasions,twaiku,5,7,5,and delivery  directly to the bed on special occasions
warm rain,his childhood memories,about the beach,sballas,2,6,4,warm rain his childhood memories about the beach
i'm teaching myself, spanish i cannot he held,back any longer,twaiku,5,7,5,i'm teaching myself  spanish i cannot he held back any longer
You must order a, lot of pizza What are your,favorite toppings,twaiku,5,8,6,You must order a  lot of pizza What are your favorite toppings
i hate wanting to, talk to someone who doesn't,wanna talk to you,twaiku,6,7,5,i hate wanting to  talk to someone who doesn't wanna talk to you
absolutely not, id rather watch another,season of luke cage,twaiku,6,7,7,absolutely not  id rather watch another season of luke cage
National Siblings, Day I mean I only claim,one of my sisters,twaiku,5,7,6,National Siblings  Day I mean I only claim one of my sisters
My self esteem is, shit the holidays are shit,everything is shit,twaiku,5,8,6,My self esteem is  shit the holidays are shit everything is shit
You showing him off, he was showing me off we,different baby,twaiku,5,7,5,You showing him off  he was showing me off we different baby
I'm listening to, AB rant every week for,the rest of the year,twaiku,5,7,5,I'm listening to  AB rant every week for the rest of the year
It's only one God, I can fear wake up and I,look in the mirror,twaiku,6,8,5,It's only one God  I can fear wake up and I look in the mirror
Gonna suck when you, wake up and you're looking at,shark in your window,twaiku,5,9,5,Gonna suck when you  wake up and you're looking at shark in your window
Procrastination, is definitely gonna,be the death of me,twaiku,5,8,5,Procrastination  is definitely gonna be the death of me
Haven't been gone that, long but I'm heading back to,Houston next weekend,twaiku,6,7,5,Haven't been gone that  long but I'm heading back to Houston next weekend
Why is power so, good all I've done for the past,week is binge watch it,twaiku,5,9,6,Why is power so  good all I've done for the past week is binge watch it
women have more rights, in Dubai than in New York,but go off I guess,twaiku,7,7,5,women have more rights  in Dubai than in New York but go off I guess
I can die happy, now thank you all for the show,see you in my dreams,twaiku,5,7,5,I can die happy  now thank you all for the show see you in my dreams
Taking my little, family to festival,of lights next weekend,twaiku,5,7,5,Taking my little  family to festival of lights next weekend
Cant cheat on someone, and then expect honesty,to be the bandaid,twaiku,6,7,5,Cant cheat on someone  and then expect honesty to be the bandaid
people don't like it, when black people call out white,people's racism,twaiku,6,8,4,people don't like it  when black people call out white people's racism
Haven't been to the, movies in a while and I,really wanna go,twaiku,5,8,5,Haven't been to the  movies in a while and I really wanna go
I'm not going down, if I am Gladys with the,Pips leading the song,twaiku,4,7,5,I'm not going down  if I am Gladys with the Pips leading the song
dude I'm SOO nervous, about getting surgery,on my shoulder lol,twaiku,6,7,5,dude I'm SOO nervous  about getting surgery on my shoulder lol
Another reason, why I am going down to,the People's Vote march,twaiku,5,6,6,Another reason  why I am going down to the People's Vote march
cold autumn wind,in all the cracks,eyes of barn cats,tempslibre,4,4,4,cold autumn wind in all the cracks eyes of barn cats
It don't even come, to my house if it ain't wrapped,in a turkey bag,twaiku,6,9,5,It don't even come  to my house if it ain't wrapped in a turkey bag
winter sky,the white cat's eyes,bluer,haikuzao,3,5,1,winter sky the white cat's eyes bluer
if your mexican, and you drink a certain beer,you die with that brand,twaiku,5,7,5,if your mexican  and you drink a certain beer you die with that brand
Be yourself is just, about the worst advice you,can give some people,twaiku,5,8,7,Be yourself is just  about the worst advice you can give some people
We wanna hear his, voice all the time Please Hire,him METRO FM,twaiku,5,10,3,We wanna hear his  voice all the time Please Hire him METRO FM
I don't even want, Snapchat anymore I don't,know how to use it,twaiku,5,8,6,I don't even want  Snapchat anymore I don't know how to use it
Work in the hospital,the crane operator works through gestures.,Very big knife.,haikuzao,6,12,5,Work in the hospital the crane operator works through gestures. Very big knife.
Always give yourself, credit for having more than,personality,twaiku,6,8,5,Always give yourself  credit for having more than personality
ok I wish I, could show story but I'll show,you a few battles,twaiku,4,7,5,ok I wish I  could show story but I'll show you a few battles
I have given so, much of myself to other,people And I'm done,twaiku,6,7,6,I have given so  much of myself to other people And I'm done
breezy morning,the scent of steamed buns,ends meditation,tempslibre,4,6,5,breezy morning the scent of steamed buns ends meditation
You could really set, fire to some arses with,a paper like that,twaiku,5,8,6,You could really set  fire to some arses with a paper like that
People that listen, to logic regularly,have the Bible app,twaiku,5,7,6,People that listen  to logic regularly have the Bible app
mud puddles,leaving behind,a high heel,tempslibre,3,4,3,mud puddles leaving behind a high heel
When ever you look, into her eyes you can see,a whole universe,twaiku,5,7,7,When ever you look  into her eyes you can see a whole universe
the slide gently,in the flesh of the mango,sunset,haikuzao,5,7,2,the slide gently in the flesh of the mango sunset
How often does the, innovation paper bin,have to be emptied,twaiku,5,7,6,How often does the  innovation paper bin have to be emptied
i'm going to treat, you exactly the same way,you treat me game on,twaiku,4,8,6,i'm going to treat  you exactly the same way you treat me game on
Slow motion might be, the most deceptive way to,view these videos,twaiku,5,8,5,Slow motion might be  the most deceptive way to view these videos
Imagine that a, dissenting point of view How,unamerican,twaiku,6,7,5,Imagine that a  dissenting point of view How unamerican
I believe in a, world free of greed and free of,social violence,twaiku,6,7,5,I believe in a  world free of greed and free of social violence
Does the new update, for rainbow six siege come out,today For consoles,twaiku,6,9,6,Does the new update  for rainbow six siege come out today For consoles
I get over things, so quick I swear I heal like,a super hero,twaiku,5,8,5,I get over things  so quick I swear I heal like a super hero
rain-bath,shedding the dust,a peacock's cry,herons_nest,2,4,4,rain-bath shedding the dust a peacock's cry
with the turn and grasp of your wrist,and the chords' stretch,there is a glint like worn brass,img2poems,8,4,9,with the turn and grasp of your wrist and the chords' stretch there is a glint like worn brass
Don't have a fucking, kid if you're not man enough,to take care of it,twaiku,6,8,7,Don't have a fucking  kid if you're not man enough to take care of it
ONCE BITTEN AND TWICE, SHY I KEEP MY DISTANCE BUT,YOU STILL CATCH MY EYE,twaiku,7,8,5,ONCE BITTEN AND TWICE  SHY I KEEP MY DISTANCE BUT YOU STILL CATCH MY EYE
play w me, sometime i'll show you how much,fun the game can be,twaiku,2,9,6,play w me  sometime i'll show you how much fun the game can be
If you aren't the, best thing I've found you will find,me in disbelief,twaiku,5,8,5,If you aren't the  best thing I've found you will find me in disbelief
don't you misread my, sadness for emptiness I,am overflowing,twaiku,5,7,5,don't you misread my  sadness for emptiness I am overflowing
im so desperate for, affection right now i'll pay,someone to hold me,twaiku,7,7,6,im so desperate for  affection right now i'll pay someone to hold me
i am listening, to lady antebellum,who did this to me,twaiku,5,7,5,i am listening  to lady antebellum who did this to me
She hasn't spoken, to most of her children in,a while Pip looks swell,twaiku,4,7,6,She hasn't spoken  to most of her children in a while Pip looks swell
who's Manny gonna, do the secret handshake with,when he's a Dodger,twaiku,5,8,5,who's Manny gonna  do the secret handshake with when he's a Dodger
a list of people, who deserve my time effort,love and energy,twaiku,5,9,6,a list of people  who deserve my time effort love and energy
Because I was up, so early went Asda and,got some shopping done,twaiku,6,7,7,Because I was up  so early went Asda and got some shopping done
the bay took over, this year in music if you,don't know now you know,twaiku,5,7,5,the bay took over  this year in music if you don't know now you know
thunderhead,a snake's path,slicing up the dune,sballas,3,4,6,thunderhead a snake's path slicing up the dune
I really wish I, can change certain people that,are in my kids life,twaiku,5,8,7,I really wish I  can change certain people that are in my kids life
Congratulations, on tonight nice to see all,the hard work paid off,twaiku,5,8,5,Congratulations  on tonight nice to see all the hard work paid off
meandering stream,clydesdales rest their heads,on each other's rumps,sballas,4,7,5,meandering stream clydesdales rest their heads on each other's rumps
Sure it was Jesus, I saw it on a placard,in the village hall,twaiku,6,7,6,Sure it was Jesus  I saw it on a placard in the village hall
I JUST WANT SOMEONE, TO HOLD ME LIKE THIS AM I,ASKING FOR TOO MUCH,twaiku,6,8,5,I JUST WANT SOMEONE  TO HOLD ME LIKE THIS AM I ASKING FOR TOO MUCH
I didn't think you, were that much better But you,actually are,twaiku,4,8,5,I didn't think you  were that much better But you actually are
the drunk Mario, Party out there and I should,probably shut up,twaiku,4,8,5,the drunk Mario  Party out there and I should probably shut up
I'm tired of all, these stupid holidays it's,just another day,twaiku,5,8,5,I'm tired of all  these stupid holidays it's just another day
Everyone takes out, the trash but not everyone,looks sharp doing it,twaiku,7,8,4,Everyone takes out  the trash but not everyone looks sharp doing it
Sometimes the things we, want the most are the things that,are the worst for us,twaiku,7,8,6,Sometimes the things we  want the most are the things that are the worst for us
I AM HUNGER I, AM THIRST BUT WHENEVER I,QUENCH THEM IT'S THE WORST,twaiku,5,7,5,I AM HUNGER I  AM THIRST BUT WHENEVER I QUENCH THEM IT'S THE WORST
Somebody want to, buy me a big breakfast from,McDonald's real quick,twaiku,6,7,4,Somebody want to  buy me a big breakfast from McDonald's real quick
light of those eyes that made the light of mine,where shine you,on what happier fields and flowers,img2poems,13,5,8,light of those eyes that made the light of mine where shine you on what happier fields and flowers
My sis is really, helping me to find a place,for me to move out,twaiku,5,8,6,My sis is really  helping me to find a place for me to move out
sissy stop leaving, twitter for days without a,warning challenge failed,twaiku,5,7,7,sissy stop leaving  twitter for days without a warning challenge failed
but all they want to do,is tie the poem to a chair with rope,and torture a confession out of it,img2poems,6,10,11,but all they want to do is tie the poem to a chair with rope and torture a confession out of it
I'm off today but, I'm up so Im going in,for a few hours,twaiku,5,6,4,I'm off today but  I'm up so Im going in for a few hours
It's great running with, you again All going well,see you Saturday,twaiku,5,6,5,It's great running with  you again All going well see you Saturday
escalator,out of the subway . . .,snowfall,sballas,4,5,2,escalator out of the subway . . . snowfall
My uncle got a, tattoo of a girl giving,head on his stomach,twaiku,5,7,5,My uncle got a  tattoo of a girl giving head on his stomach
I don't wanna say, my insomnia is back,but I think it's back,twaiku,5,6,5,I don't wanna say  my insomnia is back but I think it's back
we lower its silken ceiling,to graze his dark hair,repeat the prayer,img2poems,8,6,4,we lower its silken ceiling to graze his dark hair repeat the prayer
peyton sawyer is, not human she's an angel,and she's my angel,twaiku,5,7,5,peyton sawyer is  not human she's an angel and she's my angel
People keep asking, if i got into a fight,cause of my damn eye,twaiku,5,7,6,People keep asking  if i got into a fight cause of my damn eye
Wilder did well but, wasn't as impressive as,Everyone made out,twaiku,5,7,7,Wilder did well but  wasn't as impressive as Everyone made out
""" I smile,","of course, And go on drinking",tea.,gutenberg,3,8,1,""" I smile, of course, And go on drinking tea."
What just happened poor, guy still getting played and you,do that lord help you,twaiku,6,7,5,What just happened poor  guy still getting played and you do that lord help you
It's crazy they gone, have to shoot my shit up no,oops allowed on me,twaiku,6,8,6,It's crazy they gone  have to shoot my shit up no oops allowed on me
Never does evil, befall one who does not do,it Thai Buddhism,twaiku,5,8,4,Never does evil  befall one who does not do it Thai Buddhism
Stay productive stay, positive and keep all the,negative vibes out,twaiku,6,8,7,Stay productive stay  positive and keep all the negative vibes out
can u guys reply, with the boyz memes im running,low on memes thank u,twaiku,5,8,6,can u guys reply  with the boyz memes im running low on memes thank u
Passing someone on, the highway bitch Getting passed,on the highway bitch,twaiku,6,8,5,Passing someone on  the highway bitch Getting passed on the highway bitch
I'm going to be, home for the holidays and,I'm so excited,twaiku,4,8,5,I'm going to be  home for the holidays and I'm so excited
My soul always feels, empty after a night of,heavy drinking lol,twaiku,5,7,5,My soul always feels  empty after a night of heavy drinking lol
my biggest issue, is not knowing whether i'm,hungry or just bored,twaiku,5,7,6,my biggest issue  is not knowing whether i'm hungry or just bored
Everyone grows and, matures at a different,time different pace,twaiku,6,8,7,Everyone grows and  matures at a different time different pace
I badly miss you, that I just want you to be,at my side always,twaiku,5,7,6,I badly miss you  that I just want you to be at my side always
Apparently fear, and intimidation work,better on rabbits,twaiku,5,7,5,Apparently fear  and intimidation work better on rabbits
night by numbered night,waning brings more near in sight,hope that grows to vision of my heart's delight,img2poems,6,8,12,night by numbered night waning brings more near in sight hope that grows to vision of my heart's delight
adults don't listen, to anything that someone,younger than them says,twaiku,5,8,5,adults don't listen  to anything that someone younger than them says
frog din...,how quickly Jupiter,transits out of view,herons_nest,2,6,5,frog din... how quickly Jupiter transits out of view
headstone,a dash,between the years,sballas,3,2,4,headstone a dash between the years
oppressive heat?,a bird emerges,from a puffy cloud,sballas,5,5,5,oppressive heat? a bird emerges from a puffy cloud
between a rock,and a hard place . . .,the oncologist's fish,sballas,4,5,6,between a rock and a hard place . . . the oncologist's fish
Caesar irritates, me when he be calling all,these women bitches,twaiku,6,7,6,Caesar irritates  me when he be calling all these women bitches
Super excited, for a Chinese night in with,my ladies tonight,twaiku,5,8,5,Super excited  for a Chinese night in with my ladies tonight
"Oh, all ye",peoples of the World,draw nigh!,gutenberg,3,5,2,"Oh, all ye peoples of the World draw nigh!"
let pass what's out of  ken: lover job riches,a ripe peach,until it reaches you,img2poems,11,4,6,let pass what's out of  ken: lover job riches a ripe peach until it reaches you
white parents that let, their kids become rappers are,inherently bad,twaiku,6,9,5,white parents that let  their kids become rappers are inherently bad
because arms dealing, makes alot of money for,alot of people,twaiku,6,8,5,because arms dealing  makes alot of money for alot of people
A certain someone, screwed up today's Optics Club,meeting what a mess,twaiku,6,8,5,A certain someone  screwed up today's Optics Club meeting what a mess
where would the world be,without bottles to hold our,things rings hopes and dreams,img2poems,6,7,6,where would the world be without bottles to hold our things rings hopes and dreams
abracadabra,the night sky,fills with stars,herons_nest,5,3,3,abracadabra the night sky fills with stars
has jack got harvey, to follow you yet or do,we have to protest,twaiku,5,7,6,has jack got harvey  to follow you yet or do we have to protest
Ikea is so, great till you realize you,gotta build that shit,twaiku,4,7,5,Ikea is so  great till you realize you gotta build that shit
I thought the era, of sent dick pictures were done,and over with Why,twaiku,5,10,5,I thought the era  of sent dick pictures were done and over with Why
Oh shit he roasting, all the tv companies,highlight of my nigh,twaiku,5,5,5,Oh shit he roasting  all the tv companies highlight of my nigh
I seriously, don't understand how someone,can be so perfect,twaiku,4,8,5,I seriously  don't understand how someone can be so perfect
"He is dead,","my beautiful,",strong man!,gutenberg,3,4,2,"He is dead, my beautiful, strong man!"
I wonder if I'll, ever stop ringing my mum,when things go tits up,twaiku,5,7,5,I wonder if I'll  ever stop ringing my mum when things go tits up
I never want to, get out of my car when a,song I love comes on,twaiku,5,7,7,I never want to  get out of my car when a song I love comes on
hospice hallway,his visitors talk about,someone else,sballas,5,7,5,hospice hallway his visitors talk about someone else
Do any of these, photos remind you of the,home you grew up in,twaiku,6,7,6,Do any of these  photos remind you of the home you grew up in
open hospice door,a path of moonlight,across the sea,sballas,6,5,4,open hospice door a path of moonlight across the sea
I been seeing so, much fake shit going around,lately it's crazy,twaiku,4,7,6,I been seeing so  much fake shit going around lately it's crazy
yo breath always smell, like the floor of every,bar in Athens OH,twaiku,5,8,5,yo breath always smell  like the floor of every bar in Athens OH
lord,how he drank the blood-red country wine,as if the village vintage were divine,img2poems,1,10,14,lord how he drank the blood-red country wine as if the village vintage were divine
ok but sweater, weather by the neighborhood,will never get old,twaiku,4,7,5,ok but sweater  weather by the neighborhood will never get old
Let's make something fun, and by fun i mean lets not,talk to each other,twaiku,7,7,5,Let's make something fun  and by fun i mean lets not talk to each other
An Nur show Barack, Obama watching his world,fall down around him,twaiku,5,7,5,An Nur show Barack  Obama watching his world fall down around him
Micheal Jackson best, performer all time He was,making grown men faint,twaiku,5,8,5,Micheal Jackson best  performer all time He was making grown men faint
Only a fool would, let his enemy teach his,children Malcolm X,twaiku,5,7,4,Only a fool would  let his enemy teach his children Malcolm X
Personal things are, piling on me right now I'll,be very spotty,twaiku,6,7,5,Personal things are  piling on me right now I'll be very spotty
My diet consists, of me pretending Thin Mints,taste like broccoli,twaiku,4,7,7,My diet consists  of me pretending Thin Mints taste like broccoli
Being pregnant just, puts me at a whole other,level of crazy,twaiku,4,8,5,Being pregnant just  puts me at a whole other level of crazy
everyday i take, a moment to thank twitter,for that mute button,twaiku,7,7,6,everyday i take  a moment to thank twitter for that mute button
i'm sadly only, going to have it until,the end of the day,twaiku,5,7,5,i'm sadly only  going to have it until the end of the day
So for my birthday, my hair was supposed to be,purple right Ok,twaiku,5,8,4,So for my birthday  my hair was supposed to be purple right Ok
So ready for these, people to hurry up with,my car I'm tired,twaiku,6,7,5,So ready for these  people to hurry up with my car I'm tired
We are powerful, beyond measure We are the,sons daughters of God,twaiku,6,8,5,We are powerful  beyond measure We are the sons daughters of God
Basically it means, that Putin and Trump stole the,election from her,twaiku,6,8,5,Basically it means  that Putin and Trump stole the election from her
Who sleeps with ANY, doors open My closet doors,are closed just in case,twaiku,5,7,8,Who sleeps with ANY  doors open My closet doors are closed just in case
On chicken wings They, must kill a lot of baby,chickens for these wings,twaiku,5,7,6,On chicken wings They  must kill a lot of baby chickens for these wings
Remember our, beers pork rinds after Sky Sports,Shows with great fondness,twaiku,4,7,5,Remember our  beers pork rinds after Sky Sports Shows with great fondness
every single, performance is like blowing,me away im shook,twaiku,5,9,5,every single  performance is like blowing me away im shook
Delicate flowers, Petals of torn up tissue,Light as morning air,twaiku,6,7,5,Delicate flowers  Petals of torn up tissue Light as morning air
Lately if i eat, oily and greasy food I,feel like to vomit,twaiku,6,7,6,Lately if i eat  oily and greasy food I feel like to vomit
canterbury nor'wester,the cat stretched,under the geraniums,sballas,7,4,6,canterbury nor'wester the cat stretched under the geraniums
Operator I, am pleased to report that we,are in full control,twaiku,5,8,6,Operator I  am pleased to report that we are in full control
coffee art,i postpone,the first sip,sballas,3,4,3,coffee art i postpone the first sip
geese departing,all the stories,open ended,herons_nest,5,4,4,geese departing all the stories open ended
Alright who among, you have the spooky albums,I want to hear them,twaiku,5,8,5,Alright who among  you have the spooky albums I want to hear them
Convinced you can't have, nobody too yourself in,this generation,twaiku,7,7,5,Convinced you can't have  nobody too yourself in this generation
Ain't no telling when, it's time to go to war I,can't go out like that,twaiku,5,8,6,Ain't no telling when  it's time to go to war I can't go out like that
I hate NFL, overtime rules College and,high school get it right,twaiku,3,10,5,I hate NFL  overtime rules College and high school get it right
I love working so, close to home I hate having,a school so close though,twaiku,6,10,6,I love working so  close to home I hate having a school so close though
It will be cloudy, at twilight in Washington,DC tomorrow,twaiku,5,7,3,It will be cloudy  at twilight in Washington DC tomorrow
cave painting,ocher echoes,hunters' cries,herons_nest,4,4,3,cave painting ocher echoes hunters' cries
nah i wanna have, date with my beloved bed hug,one of my pillow,twaiku,6,9,6,nah i wanna have  date with my beloved bed hug one of my pillow
Patience is the key, to doing something that you,want to accomplish,twaiku,6,7,5,Patience is the key  to doing something that you want to accomplish
Think I wanna try, a lil color in my bob,what should I go with,twaiku,5,7,5,Think I wanna try  a lil color in my bob what should I go with
Is it Wednesday yet, because I'm already in,need of a day off,twaiku,6,8,5,Is it Wednesday yet  because I'm already in need of a day off
just for a moment,sun,on the cut flowers,herons_nest,5,1,5,just for a moment sun on the cut flowers
I'm so tired of, getting my hopes up just to,be disappointed,twaiku,5,8,5,I'm so tired of  getting my hopes up just to be disappointed
Nobody wants to, put in the work anymore,these days but I will,twaiku,5,8,6,Nobody wants to  put in the work anymore these days but I will
Whenever Now or, Never starts playing my blood,pressure skyrockets,twaiku,5,6,6,Whenever Now or  Never starts playing my blood pressure skyrockets
just a little peek,the underside,of passion flower,sballas,5,5,5,just a little peek the underside of passion flower
nightfall,the scent of lilac,between raindrops,herons_nest,2,5,4,nightfall the scent of lilac between raindrops
Back to back nightmares, Not a recommended way,to start the school week,twaiku,6,7,5,Back to back nightmares  Not a recommended way to start the school week
roadside puddle,a street dog licks,the winter moon,tempslibre,5,4,4,roadside puddle a street dog licks the winter moon
Was looking forward, to be in bed but now I'm,in bed I can't sleep,twaiku,5,7,5,Was looking forward  to be in bed but now I'm in bed I can't sleep
Seems like I always, care about people more than,they care about me,twaiku,6,9,6,Seems like I always  care about people more than they care about me
My horoscope told, me not to spend money on,this cyber monday,twaiku,6,7,5,My horoscope told  me not to spend money on this cyber monday
Since the problem is, their boss the three stooges are,talking to wrong guy,twaiku,6,8,5,Since the problem is  their boss the three stooges are talking to wrong guy
tomorrow begins, my birth month and I'm with all,the shenanigans,twaiku,5,7,5,tomorrow begins  my birth month and I'm with all the shenanigans
Nobody can sum, up my love for the goddess,that is Taylor Swift,twaiku,5,8,5,Nobody can sum  up my love for the goddess that is Taylor Swift
I didn't order, any spiders and I'm a,private citizen,twaiku,4,7,6,I didn't order  any spiders and I'm a private citizen
my stupid nose wont, stop running why u do dis,to me mr nose,twaiku,6,7,4,my stupid nose wont  stop running why u do dis to me mr nose
what Are you gonna, pull a George Bush and bust out,a weather machine,twaiku,6,8,6,what Are you gonna  pull a George Bush and bust out a weather machine
And then President, Bush thought my god this guy is,fucking looney tunes,twaiku,5,7,6,And then President  Bush thought my god this guy is fucking looney tunes
i wanna see drake, so bad and there's so many,shows here in LA PLEASE,twaiku,6,8,7,i wanna see drake  so bad and there's so many shows here in LA PLEASE
Hate how some people, can make time for everyone,else but not for you,twaiku,7,10,6,Hate how some people  can make time for everyone else but not for you
Management is the, problem You do not a stud,D man for a Drouin,twaiku,6,7,4,Management is the  problem You do not a stud D man for a Drouin
Being at peace with, yourself is the only thing,that truly matters,twaiku,5,7,5,Being at peace with  yourself is the only thing that truly matters
It's funny hearing, lies when you actually,really know the truth,twaiku,5,6,5,It's funny hearing  lies when you actually really know the truth
Two hours left on, this bus and my bladder is,about to explode,twaiku,4,7,6,Two hours left on  this bus and my bladder is about to explode
starlit night??,coolness settles,in my shoes,sballas,3,4,3,starlit night?? coolness settles in my shoes
Good flyers only, bro Get your Holiday Shoots,done at this great price,twaiku,4,7,7,Good flyers only  bro Get your Holiday Shoots done at this great price
the cool breeze,between spadefuls of gravel,a nightingale's song,sballas,4,8,6,the cool breeze between spadefuls of gravel a nightingale's song
summer's end,we topple a pyramid,of beer cans,sballas,3,7,3,summer's end we topple a pyramid of beer cans
Whatever happened, to Midget Mac I hope he's,having a blessed day,twaiku,6,8,6,Whatever happened  to Midget Mac I hope he's having a blessed day
